Year,Race_Ethnicity_Cleaned,Deaths,Race_x,Population_x,Rate_Per_100k,Race_y,Population_y,Poverty_Rate,Median_Income,Rent_Burden_Pct,Poverty_z,Income_z,Rent_Burden_z,Disadvantage_Score,Disadvantage_Level
2012,WHITE,259,WHITE,2704343.0,9.58,WHITE,2704343,10.78375969263853,70698.0,19.94,-0.9381338472400796,-0.1968488127860517,-1.1601917934268837,-0.765,Low
2012,LATINE,171,LATINE,4802133.0,3.56,LATINE,4802133,24.742062597612595,42751.0,32.98,1.6752645515552742,1.2647964432779948,0.7589999130647072,1.233,High
2012,BLACK,67,BLACK,799140.0,8.38,BLACK,799140,25.404623565906743,38247.0,36.87,1.799315146060369,1.5003584081870178,1.3315195248938705,1.544,High
2012,ASIAN,16,ASIAN,1366001.0,1.17,ASIAN,1366001,12.444605393541352,63073.0,22.36,-0.6271754502963612,0.20194336803794924,-0.8040227804123401,-0.41,Medium
2013,WHITE,331,WHITE,2703681.0,12.24,WHITE,2703681,11.39320782359604,73081.0,19.79,-0.8240275135090924,-0.32148117565865425,-1.1822683851426614,-0.776,Low
2013,LATINE,187,LATINE,4834936.0,3.87,LATINE,4834936,24.307965349142503,43352.0,33.35,1.5939889794605506,1.2333637743369819,0.8134555059636256,1.214,High
2013,BLACK,77,BLACK,801603.0,9.61,BLACK,801603,24.647242594438797,40042.0,36.11,1.6575115019076792,1.406478806275007,1.2196647935339315,1.428,High
2013,ASIAN,15,ASIAN,1392815.0,1.08,ASIAN,1392815,12.635333703995205,64932.0,22.27,-0.5914655889659112,0.10471652683771085,-0.8172687354418066,-0.435,Medium
2014,WHITE,336,WHITE,2695087.0,12.47,WHITE,2695087,11.131242005183212,74048.0,20.08,-0.8730750986661127,-0.37205586927921935,-1.1395869744921585,-0.795,Low
2014,LATINE,194,LATINE,4897745.0,3.96,LATINE,4897745,23.87586806003349,45045.0,33.01,1.5130878576573479,1.144818835040584,0.7634152314078627,1.14,High
2014,BLACK,70,BLACK,802664.0,8.72,BLACK,802664,24.78682976106925,39774.0,37.38,1.6836462605705256,1.4204953707944605,1.406579936727515,1.504,High
2014,ASIAN,21,ASIAN,1431071.0,1.47,ASIAN,1431071,12.687954508174313,65694.0,22.63,-0.5816134510433275,0.06486345906225004,-0.7642849153239407,-0.427,Medium
2015,WHITE,421,WHITE,2686804.0,15.67,WHITE,2686804,10.259488008508695,77427.0,19.82,-1.0362926842538833,-0.5487796435748652,-1.1778530667995057,-0.921,Low
2015,LATINE,243,LATINE,4926661.0,4.93,LATINE,4926661,20.93884986307405,46849.0,32.76,0.9631930240646908,1.0504685276036663,0.726620911881567,0.913,High
2015,BLACK,117,BLACK,812731.0,14.4,BLACK,812731,21.993391139421963,43555.0,35.24,1.1606336801267654,1.2227467497196347,1.0916205615824224,1.158,High
2015,ASIAN,23,ASIAN,1455392.0,1.58,ASIAN,1455392,12.08522519160464,70442.0,21.79,-0.694461828210217,-0.183459855633141,-0.8879138289322948,-0.589,Low
2016,WHITE,443,WHITE,2667102.0,16.61,WHITE,2667102,9.90287776653236,80776.0,19.76,-1.103060445472396,-0.7239343994541543,-1.1866837034858166,-1.005,Low
2016,LATINE,273,LATINE,4918830.0,5.55,LATINE,4918830,20.11333143571361,50078.0,31.87,0.8086320755792532,0.881589845389804,0.5956331343679542,0.762,High
2016,BLACK,113,BLACK,793213.0,14.25,BLACK,793213,22.09037949359485,43973.0,36.29,1.1787927078554798,1.2008850931183976,1.2461567035928645,1.209,High
2016,ASIAN,22,ASIAN,1456307.0,1.51,ASIAN,1456307,12.296939619520264,70790.0,22.55,-0.6548227581396425,-0.201660469262879,-0.7760590975723551,-0.544,Low
2017,WHITE,471,WHITE,2644767.0,17.81,WHITE,2644767,9.738044947487367,83133.0,20.24,-1.1339219211327072,-0.8472069463659143,-1.116038609995329,-1.032,Low
2017,LATINE,309,LATINE,4939605.0,6.26,LATINE,4939605,17.790254242055816,54013.0,31.15,0.3736847714897403,0.6757869297776803,0.48966549413222177,0.513,High
2017,BLACK,133,BLACK,794235.0,16.75,BLACK,794235,20.41921841015228,45676.0,36.83,0.865902972668433,1.1118171476832142,1.3256324337696634,1.101,High
2017,ASIAN,32,ASIAN,1482797.0,2.16,ASIAN,1482797,11.61905612032711,75236.0,22.36,-0.7817421740186227,-0.43418899856694565,-0.8040227804123401,-0.673,Low
2018,WHITE,570,WHITE,2619709.0,21.76,WHITE,2619709,9.65415206110907,87393.0,20.31,-1.1496290981744974,-1.0700075614885693,-1.1057362005279663,-1.108,Low
2018,LATINE,370,LATINE,4915287.0,7.53,LATINE,4915287,16.762237336594925,57125.0,31.07,0.18121024554227236,0.5130274193876093,0.47789131188380735,0.391,Medium
2018,BLACK,176,BLACK,783932.0,22.45,BLACK,783932,20.734748402460102,48519.0,36.58,0.9249793218695472,0.9631265024264751,1.2888381142433676,1.059,High
2018,ASIAN,44,ASIAN,1473462.0,2.99,ASIAN,1473462,10.554786003135415,78972.0,22.47,-0.9810043507380701,-0.6295840920172365,-0.78783327982077,-0.799,Low
2019,WHITE,635,WHITE,2596980.0,24.45,WHITE,2596980,9.068508706269732,92457.0,20.47,-1.259278488664287,-1.3348578701695843,-1.0821878360311368,-1.225,Low
2019,LATINE,484,LATINE,4881970.0,9.91,LATINE,4881970,15.792199853483137,61174.0,30.93,-0.0004088540283808458,0.30126223379332995,0.4572864929490816,0.253,Medium
2019,BLACK,217,BLACK,777195.0,27.92,BLACK,777195,19.20537292868591,52136.0,36.3,0.6386359575273057,0.7739551820277327,1.247628476373916,0.887,High
2019,ASIAN,32,ASIAN,1456809.0,2.2,ASIAN,1456809,10.24716406707586,86544.0,21.87,-1.038600082870082,-1.0256043403056738,-0.8761396466838798,-0.98,Low
2021,WHITE,1146,WHITE,2420466.0,47.35,WHITE,2420466,10.409704348529154,95193.0,21.57,-1.0081678366162476,-1.4779523497413178,-0.9202928301154348,-1.135,Low
2021,LATINE,1082,LATINE,4824989.0,22.42,LATINE,4824989,16.07213883151028,66929.0,30.68,0.05200382693413358,0.0002722009222315142,0.4204921734227857,0.158,Medium
2021,BLACK,536,BLACK,722464.0,74.19,BLACK,722464,20.817049680450708,51841.0,39.61,0.9403885037438576,0.7893838631219071,1.7347852669020734,1.155,High
2021,ASIAN,72,ASIAN,1434374.0,5.02,ASIAN,1434374,11.632207890743553,90448.0,22.7,-0.7792797818509183,-1.2297859368875623,-0.7539825058565778,-0.921,Low
2022,WHITE,1136,WHITE,2380266.0,47.73,WHITE,2380266,9.912096481162951,104421.0,20.74,-1.1013344352103638,-1.9605824146126465,-1.0424499709427373,-1.368,Low
2022,LATINE,1208,LATINE,4766616.0,25.34,LATINE,4766616,15.880817681352989,71300.0,30.38,0.01618296884840058,-0.22833378234094334,0.3763389899912306,0.055,Medium
2022,BLACK,630,BLACK,712156.0,88.46,BLACK,712156,20.401549713954665,58576.0,36.98,0.8625948812288075,0.43713922864982235,1.3477090254854407,0.882,High
2022,ASIAN,95,ASIAN,1432462.0,6.63,ASIAN,1432462,11.357328294354138,95764.0,22.62,-0.8307452001009848,-1.5078160002659742,-0.7657566881049922,-1.035,Low
2023,WHITE,1007,WHITE,2369899.0,42.49,WHITE,2369899,10.76808281420348,107041.0,21.26,-0.9410690127311272,-2.097610022974467,-0.9659177863280416,-1.335,Low
2023,LATINE,1144,LATINE,4695902.0,24.36,LATINE,4695902,14.971988855827654,75772.0,30.03,-0.15397609802215645,-0.4622221276058525,0.32482694265441675,-0.097,Medium
2023,BLACK,606,BLACK,709583.0,85.4,BLACK,709583,20.94257450207929,60696.0,37.49,0.9638903843153349,0.3262619272272804,1.422769437319085,0.904,High
2023,ASIAN,87,ASIAN,1454666.0,5.98,ASIAN,1454666,11.680417116898582,100119.0,22.72,-0.7702536190502944,-1.735585173707092,-0.7510389602944741,-1.086,Low
